Uniform Crime Reporting Statistics - UCR Data Online
http://www.ucrdatatool.gov/

Estimated crime in United States-Total

,,"Crime rate per 100,000 population",,,,,,,,,,,

,,Violent crime,,,,,,Property crime,,,,,

Year,Population,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,
1990, 249464396,         729.6,           9.4,          41.1,,         256.3,         422.9,       5073.1,       1232.2,       3185.1,         655.8 
1991, 252153092,         758.2,           9.8,          42.3,,         272.7,         433.4,       5140.2,       1252.1,       3229.1,         659.0 
1992, 255029699,         757.7,           9.3,          42.8,,         263.7,         441.9,       4903.7,       1168.4,       3103.6,         631.6 
1993, 257782608,         747.1,           9.5,          41.1,,         256.0,         440.5,       4740.0,       1099.7,       3033.9,         606.3 
1994, 260327021,         713.6,           9.0,          39.3,,         237.8,         427.6,       4660.2,       1042.1,       3026.9,         591.3 
1995, 262803276,         684.5,           8.2,          37.1,,         220.9,         418.3,       4590.5,         987.0,       3043.2,         560.3 
1996, 265228572,         636.6,           7.4,          36.3,,         201.9,         391.0,       4451.0,         945.0,       2980.3,         525.7 
1997, 267783607,         611.0,           6.8,          35.9,,         186.2,         382.1,       4316.3,         918.8,       2891.8,         505.7 
1998, 270248003,         567.6,           6.3,          34.5,,         165.5,         361.4,       4052.5,         863.2,       2729.5,         459.9 
1999, 272690813,         523.0,           5.7,          32.8,,         150.1,         334.3,       3743.6,         770.4,       2550.7,         422.5 
2000, 281421906,         506.5,           5.5,          32.0,,         145.0,         324.0,       3618.3,         728.8,       2477.3,         412.2 
2001, 285317559,         504.5,           5.6,          31.8,,         148.5,         318.6,       3658.1,         741.8,       2485.7,         430.5 
2002, 287973924,         494.4,           5.6,          33.1,,         146.1,         309.5,       3630.6,         747.0,       2450.7,         432.9 
2003, 290788976,         475.8,           5.7,          32.3,,         142.5,         295.4,       3591.2,         741.0,       2416.5,         433.7 
2004, 293656842,         463.2,           5.5,          32.4,,         136.7,         288.6,       3514.1,         730.3,       2362.3,         421.5 
2005, 296507061,         469.0,           5.6,          31.8,,         140.8,         290.8,       3431.5,         726.9,       2287.8,         416.8 
2006, 299398484,         479.3,           5.8,          31.6,,         150.0,         292.0,       3346.6,         733.1,       2213.2,         400.2 
2007, 301621157,         471.8,           5.7,          30.6,,         148.3,         287.2,       3276.4,         726.1,       2185.4,         364.9 
2008, 304059724,         458.6,           5.4,          29.8,,         145.9,         277.5,       3214.6,         733.0,       2166.1,         315.4 
2009, 307006550,         431.9,           5.0,          29.1,,         133.1,         264.7,       3041.3,         717.7,       2064.5,         259.2 
2010, 309330219,         404.5,           4.8,          27.7,,         119.3,         252.8,       2945.9,         701.0,       2005.8,         239.1 
2011, 311587816,         387.1,           4.7,          27.0,,         113.9,         241.5,       2905.4,         701.3,       1974.1,         230.0 
2012, 313873685,         387.8,           4.7,          27.1,,         113.1,         242.8,       2868.0,         672.2,       1965.4,         230.4 
2013, 316497531,         379.1,           4.5,          25.9,          35.9,         109.0,         229.6,       2733.3,         610.4,       1901.6,         221.3 
2014, 318857056,         375.7,           4.5,          26.4,          36.6,         102.2,         232.5,       2596.1,         542.5,       1837.3,         216.2 


		
		,1. The figures shown in this column for the offense of rape were estimated using the legacy UCR definition of rape - previously known as "Forcible" rape.  See UCR Offense Definitions for further information.
		
		,2. The figures shown in this column for the offense of rape were estimated using the revised Uniform Crime Reporting (UCR) definition of rape. In December 2011 the UCR program changed its definition of SRS rape to this revised definition. This change can be seen in the UCR data starting in 2013. Prior to 2013 this column will be blank. See UCR Offense Definitions for further information.
		
		
		,Notes:,National or state offense totals are based on data from all reporting agencies and estimates for unreported areas.

"           Rates are the number of reported offenses per 100,000 population"  
 
,,"United States-Total - "
 
,,"The 168 murder and nonnegligent homicides that occurred as a result of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City in 1995 are included in the national estimate." 
,,"The 2,823 murder and nonnegligent homicides that occurred as a result of the events of September 11, 2001, are not included in the national estimates." 

"Sources: FBI, Uniform Crime Reports, prepared by the National Archive of Criminal Justice Data" 
Date of download: May 25 2017 
